time,ax,ay,az,aT
2.575000,0.0030,0.0265,-0.0043,0.027
2.580000,0.0007,0.0263,-0.0114,0.029
2.585000,-0.0064,0.0214,-0.0066,0.023
2.590000,-0.0039,0.0093,-0.0017,0.010
2.595000,-0.0039,-0.0028,0.0030,0.006
2.600000,-0.0038,-0.0099,0.0030,0.011
2.613000,0.0009,-0.0051,0.0006,0.005
2.615000,-0.0039,-0.0099,0.0006,0.011
2.615000,-0.0038,-0.0146,0.0053,0.016
2.642000,0.0010,-0.0002,0.0100,0.010
2.644000,-0.0014,0.0022,0.0028,0.004
2.644000,-0.0037,-0.0192,0.0028,0.020
2.645000,-0.0037,-0.0168,0.0123,0.021
2.645000,0.0035,-0.0001,0.0003,0.003
2.645000,0.0082,0.0046,-0.0044,0.010
2.649000,0.0058,0.0069,0.0075,0.012
2.654000,0.0010,0.0044,0.0122,0.013
2.659000,0.0034,-0.0027,-0.0022,0.005
2.664000,0.0081,-0.0051,-0.0045,0.011
2.671000,0.0009,-0.0027,-0.0045,0.005
2.674000,-0.0038,-0.0003,-0.0021,0.004
2.678000,-0.0038,0.0069,-0.0021,0.008
2.684000,-0.0037,0.0044,-0.0092,0.011
2.690000,-0.0037,-0.0074,0.0028,0.009
2.694000,0.0012,-0.0169,0.0099,0.020
